code_departement,ville,libelle_liste,rang,genre,nom_prenom
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",1,M,BRANTHÔME Stéphane
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",2,F,BOISTARD Aurore
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",3,M,DUDOUIT Jean-Pierre
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",4,F,MALMANCHE Justine
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",5,M,D'AUZAC DE LAMARTINIE François-Xavier
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",6,F,DENISON Florence
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",7,M,DUMIGNARD Jean-Louis
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",8,F,DESBORDES Isabelle
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",9,M,GUIGNANDON Arnaud
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",10,F,DONVAL Marie
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",11,M,LAUNAY Sébastien
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",12,F,MARTINHO Valérie
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",13,M,PITON Alain
16,Abzac,"Ensemble, construisons l'avenir d'Abzac",14,F,TOGNET Marie
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",1,F,PÉRONNE Christine
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",2,M,POLMAN Jean-Michel
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",3,F,MOREL Corinne
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",4,M,PICAUDAT Bruno
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",5,F,HENCHOZ Sandrine
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",6,M,ZANDVLIET Philippe
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",7,F,MARTINET Pauline
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",8,M,VALLADE Aurélien
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",9,F,HALOUIS Marie-Emmannuelle
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",10,M,RICHARD Eric
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",11,F,RAVIER Sylvie
16,Agris,"AGRIS, VIVRE ET CONSTRUIRE ENSEMBLE",12,M,RAMNOUX Jonathan
