code_departement,ville,libelle_liste,rang,genre,nom_prenom
2A,Afa,CAMPA IN AFA,1,M,MINICONI Paul-Dominique
2A,Afa,CAMPA IN AFA,2,F,CIAVAGLINI Joëlle
2A,Afa,CAMPA IN AFA,3,M,VALERY Olivier
2A,Afa,CAMPA IN AFA,4,F,CELLI EPOUSE MAROSELLI Marie Catherine
2A,Afa,CAMPA IN AFA,5,M,COLOMBANI Didier
2A,Afa,CAMPA IN AFA,6,F,GIACOMONI Marie-Antoinette
2A,Afa,CAMPA IN AFA,7,M,SANTONI Jacques
2A,Afa,CAMPA IN AFA,8,F,HONORE ÉPOUSE TAGLIAGLIOLI Pascale
2A,Afa,CAMPA IN AFA,9,M,MINICONI Jean-Michel
2A,Afa,CAMPA IN AFA,10,F,FAGGIANELLI Carine
2A,Afa,CAMPA IN AFA,11,M,MANCINI Michel
2A,Afa,CAMPA IN AFA,12,F,MICHELACCI Nelly
2A,Afa,CAMPA IN AFA,13,M,COSSU Jean-Marie
2A,Afa,CAMPA IN AFA,14,F,CAMUGLIO Sylvie
2A,Afa,CAMPA IN AFA,15,M,BRIGATO Pierre
2A,Afa,CAMPA IN AFA,16,F,COLONNA Anne-Paule
2A,Afa,CAMPA IN AFA,17,M,BONELLI Fabien
2A,Afa,CAMPA IN AFA,18,F,FORTE Santa
2A,Afa,CAMPA IN AFA,19,M,MAMMOLA Michel
2A,Afa,CAMPA IN AFA,20,F,MARIOTTI Isula-Maria
2A,Afa,CAMPA IN AFA,21,M,MINICONI Frédéric
2A,Afa,CAMPA IN AFA,22,F,LOTI-VILANOVA Laëtitia
2A,Afa,CAMPA IN AFA,23,M,MINICONI Jean-Marc
2A,Afa,CAMPA IN AFA,24,F,SALINI ÉPOUSE PAOLINI Lisa
2A,Afa,CAMPA IN AFA,25,M,FEIBELMAN Alain
2A,Ajaccio,AIACCIU VIVU,1,M,CARROLAGGI Jean-Paul
2A,Ajaccio,AIACCIU VIVU,2,F,TIBERI Julia
2A,Ajaccio,AIACCIU VIVU,3,M,COLONNA Romain
2A,Ajaccio,AIACCIU VIVU,4,F,ANTONINI Danielle
2A,Ajaccio,AIACCIU VIVU,5,M,BERNARDINI Luc
2A,Ajaccio,AIACCIU VIVU,6,F,ARRIGHI Geraldine
2A,Ajaccio,AIACCIU VIVU,7,M,BURELLI Joseph
2A,Ajaccio,AIACCIU VIVU,8,F,BENEDETTI Davia
2A,Ajaccio,AIACCIU VIVU,9,M,MINICONI Jean Andre
2A,Ajaccio,AIACCIU VIVU,10,F,COSIMI Livia
2A,Ajaccio,AIACCIU VIVU,11,M,GAFFORY Marc
2A,Ajaccio,AIACCIU VIVU,12,F,MILLELIRI Marie-Ange
2A,Ajaccio,AIACCIU VIVU,13,M,EL MAJJOUTI Mohamed Dit Krimau
2A,Ajaccio,AIACCIU VIVU,14,F,PIERRE EPOUSE PANTALONI Paule
2A,Ajaccio,AIACCIU VIVU,15,M,LUCIANI Denis Bruno
2A,Ajaccio,AIACCIU VIVU,16,F,SCIARETTI Veronique
2A,Ajaccio,AIACCIU VIVU,17,M,D'ORAZIO Xavier
2A,Ajaccio,AIACCIU VIVU,18,F,CANAVELLI Maria-Francesca
2A,Ajaccio,AIACCIU VIVU,19,M,MARCHI Laurent
2A,Ajaccio,AIACCIU VIVU,20,F,SERRA Nathalie Sabine
2A,Ajaccio,AIACCIU VIVU,21,M,PIETRI Pierre Joseph
2A,Ajaccio,AIACCIU VIVU,22,F,ARNAUD Marie-Luce
2A,Ajaccio,AIACCIU VIVU,23,M,MOZZICONACCI Marc Jean
2A,Ajaccio,AIACCIU VIVU,24,F,PIETRI Vanessa
2A,Ajaccio,AIACCIU VIVU,25,M,RIOLACCI Florian
2A,Ajaccio,AIACCIU VIVU,26,F,BATTINI Catherine
2A,Ajaccio,AIACCIU VIVU,27,M,BEGLIOMINI Chilianu
2A,Ajaccio,AIACCIU VIVU,28,F,SCHNITZLER Marielle
2A,Ajaccio,AIACCIU VIVU,29,M,FUMAROLI Pascal
2A,Ajaccio,AIACCIU VIVU,30,F,DEGIOVANNI Angélique
2A,Ajaccio,AIACCIU VIVU,31,M,CATALINI Dominique
2A,Ajaccio,AIACCIU VIVU,32,F,FERRI-PISANI Alicia
2A,Ajaccio,AIACCIU VIVU,33,M,PERALDI Laurent
2A,Ajaccio,AIACCIU VIVU,34,F,CASANOVA Laura
2A,Ajaccio,AIACCIU VIVU,35,M,DUCANI Joseph
2A,Ajaccio,AIACCIU VIVU,36,F,BRUNNA Vannina
2A,Ajaccio,AIACCIU VIVU,37,M,CAMPUS Patrick
2A,Ajaccio,AIACCIU VIVU,38,F,BONNAFOUX Mattea
2A,Ajaccio,AIACCIU VIVU,39,M,MARY Laurent
2A,Ajaccio,AIACCIU VIVU,40,F,ROMAGNESI Véronique
2A,Ajaccio,AIACCIU VIVU,41,M,NIVAGGIOLI Stefanu
2A,Ajaccio,AIACCIU VIVU,42,F,SANNA Vanessa
2A,Ajaccio,AIACCIU VIVU,43,M,SIGREST-ROSSI Robin
2A,Ajaccio,AIACCIU VIVU,44,F,NEGA Laetizia Aude Marie
2A,Ajaccio,AIACCIU VIVU,45,M,MASSA Jean-Charles
2A,Ajaccio,AIACCIU VIVU,46,F,PERETTI Claudia
2A,Ajaccio,AIACCIU VIVU,47,M,LECA Antoine
2A,Ajaccio,AIACCIU VIVU,48,F,SILVANI Josephine
2A,Ajaccio,AIACCIU VIVU,49,M,TAVERA Xavier
2A,Ajaccio,FORZA AIACCIU !,1,M,SBRAGGIA Stéphane
2A,Ajaccio,FORZA AIACCIU !,2,F,CORTICCHIATO Caroline
2A,Ajaccio,FORZA AIACCIU !,3,M,FARINA Alexandre
2A,Ajaccio,FORZA AIACCIU !,4,F,DECONSTANZA Raphaele
2A,Ajaccio,FORZA AIACCIU !,5,M,MARCANGELI Laurent
2A,Ajaccio,FORZA AIACCIU !,6,F,COSTA Laetitia
2A,Ajaccio,FORZA AIACCIU !,7,M,VANNUCCI Stéphane
2A,Ajaccio,FORZA AIACCIU !,8,F,COMBETTE Christelle
2A,Ajaccio,FORZA AIACCIU !,9,M,VOGLIMACCI Charles-Noël
2A,Ajaccio,FORZA AIACCIU !,10,F,SCHINTO Marine
2A,Ajaccio,FORZA AIACCIU !,11,M,ORTOLI Antoine
2A,Ajaccio,FORZA AIACCIU !,12,F,SICHI Annie
2A,Ajaccio,FORZA AIACCIU !,13,M,PUGLIESI Pierre
2A,Ajaccio,FORZA AIACCIU !,14,F,OTTAVY Nicole
2A,Ajaccio,FORZA AIACCIU !,15,M,ARESU Jean-Pierre
2A,Ajaccio,FORZA AIACCIU !,16,F,OTTAVY-SARROLA Rose-Marie
2A,Ajaccio,FORZA AIACCIU !,17,M,BACCI Christian
2A,Ajaccio,FORZA AIACCIU !,18,F,COLONNA D'ISTRIA Marie France
2A,Ajaccio,FORZA AIACCIU !,19,M,AUDISIO Pierre-Laurent
2A,Ajaccio,FORZA AIACCIU !,20,F,BERNARD Camille
2A,Ajaccio,FORZA AIACCIU !,21,M,TROUBAT D'AUBIGNY Charles
2A,Ajaccio,FORZA AIACCIU !,22,F,MAROCCU Laetitia
2A,Ajaccio,FORZA AIACCIU !,23,M,SOLLACARO Jean-Pierre
2A,Ajaccio,FORZA AIACCIU !,24,F,MARTELLI Marina
2A,Ajaccio,FORZA AIACCIU !,25,M,COMITI Jean-Christophe
2A,Ajaccio,FORZA AIACCIU !,26,F,PIREDDA-ALATA Aurélie
2A,Ajaccio,FORZA AIACCIU !,27,M,KERVELLA Philippe
2A,Ajaccio,FORZA AIACCIU !,28,F,AMBROSINI Joanna
2A,Ajaccio,FORZA AIACCIU !,29,M,ROMITI Eric
2A,Ajaccio,FORZA AIACCIU !,30,F,OLIVIERI Valentine
2A,Ajaccio,FORZA AIACCIU !,31,M,ROSSI Jean Marie
2A,Ajaccio,FORZA AIACCIU !,32,F,COLOMBANI Lisandra
2A,Ajaccio,FORZA AIACCIU !,33,M,VILLANOVA André
2A,Ajaccio,FORZA AIACCIU !,34,F,PONZEVERA Marine
2A,Ajaccio,FORZA AIACCIU !,35,M,FAZI Francois-Joseph
2A,Ajaccio,FORZA AIACCIU !,36,F,SANTARELLI Martine
2A,Ajaccio,FORZA AIACCIU !,37,M,SALINI Paul
2A,Ajaccio,FORZA AIACCIU !,38,F,CASABIANCA Carine
2A,Ajaccio,FORZA AIACCIU !,39,M,ARRAY AMORIM Mathieu
2A,Ajaccio,FORZA AIACCIU !,40,F,DORE Francoise
2A,Ajaccio,FORZA AIACCIU !,41,M,LUCCIONI Jean-François
2A,Ajaccio,FORZA AIACCIU !,42,F,LECA Camille
2A,Ajaccio,FORZA AIACCIU !,43,M,ROSSI Pierre-Antoine
2A,Ajaccio,FORZA AIACCIU !,44,F,BOUZIANI Camelia
2A,Ajaccio,FORZA AIACCIU !,45,M,CASTELLANI Mathieu
2A,Ajaccio,FORZA AIACCIU !,46,F,APPIETO Marlène
2A,Ajaccio,FORZA AIACCIU !,47,M,MISTRE Alain
2A,Ajaccio,FORZA AIACCIU !,48,F,ANDREANI Annonciade
2A,Ajaccio,FORZA AIACCIU !,49,M,MASSEI Claude
2A,Ajaccio,GAGNER POUR AJACCIO,1,M,FILONI Francois
2A,Ajaccio,GAGNER POUR AJACCIO,2,F,CUTTOLI BONNECHERE Stephanie
2A,Ajaccio,GAGNER POUR AJACCIO,3,M,TOLLINCHI Alexandre-Guillaume
2A,Ajaccio,GAGNER POUR AJACCIO,4,F,CHIAPPINI Anna
2A,Ajaccio,GAGNER POUR AJACCIO,5,M,MARCHIONE Paul
2A,Ajaccio,GAGNER POUR AJACCIO,6,F,BAPTISTA SOARES Angela
2A,Ajaccio,GAGNER POUR AJACCIO,7,M,DELIPERI Sébastien
2A,Ajaccio,GAGNER POUR AJACCIO,8,F,QUARENA Ariane
2A,Ajaccio,GAGNER POUR AJACCIO,9,M,LUCIANI Lisandru
2A,Ajaccio,GAGNER POUR AJACCIO,10,F,CHIAPPINI Marie-Xavière
2A,Ajaccio,GAGNER POUR AJACCIO,11,M,SIMEONI Baptiste
2A,Ajaccio,GAGNER POUR AJACCIO,12,F,MANCA Eléonore
2A,Ajaccio,GAGNER POUR AJACCIO,13,M,PELLETIER Sebastien
2A,Ajaccio,GAGNER POUR AJACCIO,14,F,PARISY Séverine
2A,Ajaccio,GAGNER POUR AJACCIO,15,M,CHIESI Dominique
2A,Ajaccio,GAGNER POUR AJACCIO,16,F,MALERBA Michèle
2A,Ajaccio,GAGNER POUR AJACCIO,17,M,ORTICONI Nicolas
2A,Ajaccio,GAGNER POUR AJACCIO,18,F,JALABERT Benedicte
2A,Ajaccio,GAGNER POUR AJACCIO,19,M,ANTONIETTI Jean-Marc
2A,Ajaccio,GAGNER POUR AJACCIO,20,F,LEONI Marie-Josée
2A,Ajaccio,GAGNER POUR AJACCIO,21,M,TEYSSIER Francois
2A,Ajaccio,GAGNER POUR AJACCIO,22,F,COMBETTES Magali
2A,Ajaccio,GAGNER POUR AJACCIO,23,M,TARDY Alexandre
2A,Ajaccio,GAGNER POUR AJACCIO,24,F,CARDI Angèle
2A,Ajaccio,GAGNER POUR AJACCIO,25,M,STRAUSS Emeric
2A,Ajaccio,GAGNER POUR AJACCIO,26,F,MARTIN Cassandre
2A,Ajaccio,GAGNER POUR AJACCIO,27,M,MORGANTI Franck
2A,Ajaccio,GAGNER POUR AJACCIO,28,F,CANNICCIONI Michelle
2A,Ajaccio,GAGNER POUR AJACCIO,29,M,GRASSELLY Jean-Michel
2A,Ajaccio,GAGNER POUR AJACCIO,30,F,ANDRIATIANA Brigitte
2A,Ajaccio,GAGNER POUR AJACCIO,31,M,BIANCO Renato
2A,Ajaccio,GAGNER POUR AJACCIO,32,F,MARIANI Sandrine
2A,Ajaccio,GAGNER POUR AJACCIO,33,M,FRANCHI François
2A,Ajaccio,GAGNER POUR AJACCIO,34,F,OGGIANO Marie-Kathia
2A,Ajaccio,GAGNER POUR AJACCIO,35,M,FLEURQUIN Yann
2A,Ajaccio,GAGNER POUR AJACCIO,36,F,CASSAGNERES Brigitte
2A,Ajaccio,GAGNER POUR AJACCIO,37,M,SANNA Sauveur
2A,Ajaccio,GAGNER POUR AJACCIO,38,F,MURI Françoise
2A,Ajaccio,GAGNER POUR AJACCIO,39,M,JASSERAND Christophe
2A,Ajaccio,GAGNER POUR AJACCIO,40,F,CHIODELLI Claude
2A,Ajaccio,GAGNER POUR AJACCIO,41,M,BERNARDI René
2A,Ajaccio,GAGNER POUR AJACCIO,42,F,PIGA Patrizia
2A,Ajaccio,GAGNER POUR AJACCIO,43,M,VELARDI Jean-Antoine
2A,Ajaccio,GAGNER POUR AJACCIO,44,F,RAMACCIOTTI Rita
2A,Ajaccio,GAGNER POUR AJACCIO,45,M,TROMBELLA Jean
2A,Ajaccio,GAGNER POUR AJACCIO,46,F,RENUCCI Antoinette
2A,Ajaccio,GAGNER POUR AJACCIO,47,M,LAFRANCESCA Alain
2A,Ajaccio,GAGNER POUR AJACCIO,48,F,ANDARELLI Marie-Madeleine
2A,Ajaccio,GAGNER POUR AJACCIO,49,M,CECCARINI Toussaint
2A,Ajaccio,GAGNER POUR AJACCIO,50,F,LECA Liliane
2A,Ajaccio,GAGNER POUR AJACCIO,51,M,TESTA Gerald
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,1,F,CESARI Charlotte
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,2,M,LEROY Marc-Antoine
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,3,F,CARUANA Christelle
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,4,M,CAOMBARET Alain
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,5,F,CERVETTI Emmanuelle
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,6,M,MUSELLI-COLONNA Pierre-Ange
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,7,F,ET-TAMYMY Maroua
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,8,M,MARCHI Jean
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,9,F,PUPPONI Fatima
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,10,M,PIERI François
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,11,F,BISGAMBIGLIA Virginie
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,12,M,PADOVANI Jean-Christian
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,13,F,TOUIZA AMBROGGIANI Sara
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,14,M,FOSSE Raphaël
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,15,F,BARTOLI Francoise
2A,Ajaccio,LA GAUCHE UNIE - A VOCI DI U POPULU,16,M,MASSIMI Nicolas
