code_departement,ville,libelle_liste,rang,genre,nom_prenom
2B,Aghione,PER L'AGHJONE,1,M,CASANOVA André
2B,Aghione,PER L'AGHJONE,2,F,AMALRIC Anne
2B,Aghione,PER L'AGHJONE,3,M,KLEINEIDAM Hervé
2B,Aghione,PER L'AGHJONE,4,F,BARCELO Michèle Germaine
2B,Aghione,PER L'AGHJONE,5,M,BARCELO Daniel Jean Alain
2B,Aghione,PER L'AGHJONE,6,F,GALEAZZI Renée Yvette
2B,Aghione,PER L'AGHJONE,7,M,ARRIGHI Jean-François
2B,Aghione,PER L'AGHJONE,8,F,MORICONI Stéphanie
2B,Aghione,PER L'AGHJONE,9,M,RODRIGUEZ José Michel
2B,Aghione,PER L'AGHJONE,10,F,OLLIVE Ilhona
2B,Aghione,PER L'AGHJONE,11,M,ANGELINI Pascal
2B,Aghione,PER L'AGHJONE,12,F,CHARRIN Corinne Françoise
2B,Aghione,PER L'AGHJONE,13,M,ANGELINI Pierre-François
2B,Aiti,liste d'union,1,M,ORSONI Pierre
2B,Aiti,liste d'union,2,F,ROGLIANO-AGOSTINI Marie-Sabine
2B,Aiti,liste d'union,3,M,ORSONI Gérard
2B,Aiti,liste d'union,4,F,VINCIGUERRA Marie-Genevieve
2B,Aiti,liste d'union,5,M,ANGELI Marius
2B,Aiti,liste d'union,6,F,GIULIANI Marie-France
2B,Aiti,liste d'union,7,M,CASAMATTA Frédéric
2B,Alando,PER ALANDU,1,M,BERNARDI François-Albert
2B,Alando,PER ALANDU,2,F,IMPERINETTI Corinne
2B,Alando,PER ALANDU,3,M,PETITET Eric
2B,Alando,PER ALANDU,4,F,BERNARDI Aurélie
2B,Alando,PER ALANDU,5,M,MAMELLI Guy
2B,Alando,PER ALANDU,6,F,DEFRANCHI Sarah
2B,Alando,PER ALANDU,7,M,ROSTAGNAT Hervé
2B,Alando,PER ALANDU,8,F,TAUZIAT Marie-Laure
2B,Alando,PER ALANDU,9,M,GUELFUCCI Valentin
2B,Albertacce,U PAESE A NOSTRA SCELTA,1,M,ALBERTINI Pierre-François
2B,Albertacce,U PAESE A NOSTRA SCELTA,2,F,ALBERTINI Catherine
2B,Albertacce,U PAESE A NOSTRA SCELTA,3,M,SANTINI Pasquin
2B,Albertacce,U PAESE A NOSTRA SCELTA,4,F,ALBERTINI Laurence
2B,Albertacce,U PAESE A NOSTRA SCELTA,5,M,CAMILLI Pascal
2B,Albertacce,U PAESE A NOSTRA SCELTA,6,F,ALBERTINI Ursula
2B,Albertacce,U PAESE A NOSTRA SCELTA,7,M,PIERAGGI Marius
2B,Albertacce,U PAESE A NOSTRA SCELTA,8,F,ALFONSI Mathilde
2B,Albertacce,U PAESE A NOSTRA SCELTA,9,M,ALBERTINI François
2B,Albertacce,U PAESE A NOSTRA SCELTA,10,F,CESARI Anne
2B,Albertacce,U PAESE A NOSTRA SCELTA,11,M,LANGLADE Jean Paul
2B,Albertacce,U PAESE A NOSTRA SCELTA,12,F,ALBERTINI Laetitia
2B,Albertacce,U PAESE A NOSTRA SCELTA,13,M,ALBERTINI Jean-Vitus
2B,Algajola,ALGAIOLA INSEME,1,M,ROSSI François
2B,Algajola,ALGAIOLA INSEME,2,F,ALLEGRINI Stéphanie
2B,Algajola,ALGAIOLA INSEME,3,M,ALLEGRINI Nicolas
2B,Algajola,ALGAIOLA INSEME,4,F,FILIPPI Aurélia
2B,Algajola,ALGAIOLA INSEME,5,M,KRAN Patrick
2B,Algajola,ALGAIOLA INSEME,6,F,LOVERINI-DAVID Carine
2B,Algajola,ALGAIOLA INSEME,7,M,MARTELLI Joseph
2B,Algajola,ALGAIOLA INSEME,8,F,LUCIANI Aurore
2B,Algajola,ALGAIOLA INSEME,9,M,MARTELLI Patrice
2B,Algajola,ALGAIOLA INSEME,10,F,LUIGGI Martine
2B,Algajola,ALGAIOLA INSEME,11,M,PARIGGI Raphaël
2B,Altiani,altiani prima,1,M,BUSSETTA Jean-Yves
2B,Altiani,altiani prima,2,F,ARCANGELI Pascale
2B,Altiani,altiani prima,3,M,FRIGOSINI Pierre-Paul
2B,Altiani,altiani prima,4,F,PISANI Marphise
2B,Altiani,altiani prima,5,M,MASSON Jean-Christian
2B,Altiani,altiani prima,6,F,BOTTI Marie Dominique
2B,Altiani,altiani prima,7,M,PAOLI Pierre
2B,Alzi,Par Alzi,1,M,VENTURINI Simon
2B,Alzi,Par Alzi,2,F,BREGLIANO Sophie
2B,Alzi,Par Alzi,3,M,SARKISSIAN PICCHINI Gérald
2B,Alzi,Par Alzi,4,F,VENTURINI Candide
2B,Alzi,Par Alzi,5,M,FABRI Philippe
2B,Alzi,Par Alzi,6,F,SARKISSIAN-PICCHINI Claudia
2B,Alzi,Par Alzi,7,M,CONTE Christophe
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",1,M,LUCIANI Dominique
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",2,F,TADDEI Laurence
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",3,M,GIULY Martin
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",4,F,SAEZ-RICCIARDI Celia
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",5,M,LUCCIONI Pierre-Jean
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",6,F,ROL Stéphanie
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",7,M,PIFERINI Mikael
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",8,F,RUGGERI-SAOLI Albana
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",9,M,LESCHI Florian
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",10,F,PAOLI Christine
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",11,M,LAVERGNE Antoine
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",12,F,STEFANI Marie-Pierre
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",13,M,DOMINICI Jean-Philippe
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",14,F,LEFEUVRE Christelle
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",15,M,MESNIL Sébastien
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",16,F,MURACCIOLE Marie-Christine
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",17,M,RUGGIERO Patrick
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",18,F,TAK Romane
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",19,M,FERRARINI Michel
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",20,F,CARLOTTI Louisa
2B,Aléria,"ALERIA ENSEMBLE,UNITI PER L'AVVENE",21,M,CASANOVA Stéphan
2B,Aléria,ALERIA PER TUTTI,1,M,FRANCESCHI Jean Claude
2B,Aléria,ALERIA PER TUTTI,2,F,PISTORESI RAMAZOTTI Jeanne
2B,Aléria,ALERIA PER TUTTI,3,M,BALDOVINI Antony
2B,Aléria,ALERIA PER TUTTI,4,F,MAIORE Maria-Laura
2B,Aléria,ALERIA PER TUTTI,5,M,CHEYNET Patrick
2B,Aléria,ALERIA PER TUTTI,6,F,CLET-DAVID HOULLIER Pascale
2B,Aléria,ALERIA PER TUTTI,7,M,MANENTI Gregory
2B,Aléria,ALERIA PER TUTTI,8,F,PIRAS Maria Antonietta
2B,Aléria,ALERIA PER TUTTI,9,M,LESCHI Jean Christophe
2B,Aléria,ALERIA PER TUTTI,10,F,DE LA MATA Clara
2B,Aléria,ALERIA PER TUTTI,11,M,LUCIANI Jean Emmanuel
2B,Aléria,ALERIA PER TUTTI,12,F,LAMOUROUX Sophie
2B,Aléria,ALERIA PER TUTTI,13,M,MERMET Jacques
2B,Aléria,ALERIA PER TUTTI,14,F,GALINDO Margaux
2B,Aléria,ALERIA PER TUTTI,15,M,VALERY Gérard
2B,Aléria,ALERIA PER TUTTI,16,F,FITTIPALDI CHAFFEL Patricia
2B,Aléria,ALERIA PER TUTTI,17,M,CARLOTTI Antoine-François
2B,Aléria,ALERIA PER TUTTI,18,F,PANTALACCI Antoinette
2B,Aléria,ALERIA PER TUTTI,19,M,MUGNIER Jean Jacques
2B,Aléria,ALERIA PER TUTTI,20,F,BONNET Martine
2B,Aléria,ALERIA PER TUTTI,21,M,CABAILLOT Daniel
2B,Ampriani,Fà per Ampriani,1,M,DOMPIETRINI Pierre François
2B,Ampriani,Fà per Ampriani,2,F,ANDREI DOMPIETRINI Nicole
2B,Ampriani,Fà per Ampriani,3,M,DOMPIETRINI Paul-André
2B,Ampriani,Fà per Ampriani,4,F,BEAUCHIER DOMPIETRINI Aurélia
2B,Ampriani,Fà per Ampriani,5,M,ROSSINI Charles
2B,Ampriani,Fà per Ampriani,6,F,GEORGES PACCIONI Anny
2B,Ampriani,Fà per Ampriani,7,M,ORSOLINI Sebastianu
2B,Antisanti,pour que vive antisanti,1,M,ALESSANDRINI Anthony
2B,Antisanti,pour que vive antisanti,2,F,GRISCELLI Claire
2B,Antisanti,pour que vive antisanti,3,M,GIACOBBI Marc
2B,Antisanti,pour que vive antisanti,4,F,ANDRIETTI Lesia
2B,Antisanti,pour que vive antisanti,5,M,BALDOVINI Antoine
2B,Antisanti,pour que vive antisanti,6,F,MASSONI Marie-Ange
2B,Antisanti,pour que vive antisanti,7,M,FRANCHI Jean-Claude
2B,Antisanti,pour que vive antisanti,8,F,GIACOBBI Marie-Madeleine
2B,Antisanti,pour que vive antisanti,9,M,LUCCIARDI Vincent
2B,Antisanti,pour que vive antisanti,10,F,BURSACCHI Thérèse
2B,Antisanti,pour que vive antisanti,11,M,SALVADORI Ghjuvan Carlu
2B,Antisanti,pour que vive antisanti,12,F,LAURENZATI Muriel
2B,Antisanti,pour que vive antisanti,13,M,MATTEI Sébastien
2B,Antisanti,pour que vive antisanti,14,F,PANCKOUCKE Veronique
2B,Antisanti,pour que vive antisanti,15,M,ORLANDO Grégory
2B,Aregno,per un avvene serenu,1,M,CALASSA David
2B,Aregno,per un avvene serenu,2,F,CASTELLANI Laetizia
2B,Aregno,per un avvene serenu,3,M,NEGRETTI Pierre
2B,Aregno,per un avvene serenu,4,F,CASTELLANI Nathalie
2B,Aregno,per un avvene serenu,5,M,FONDACCI Frédéric
2B,Aregno,per un avvene serenu,6,F,ANDREANI Francoise
2B,Aregno,per un avvene serenu,7,M,ANFRIANI Antoine-François
2B,Aregno,per un avvene serenu,8,F,FONDACCI Maria
2B,Aregno,per un avvene serenu,9,M,MARIANI François
2B,Aregno,per un avvene serenu,10,F,TEALDI Leonie
2B,Aregno,per un avvene serenu,11,M,CARLOTTI Pascal
2B,Aregno,per un avvene serenu,12,F,CARLI Joanne
2B,Aregno,per un avvene serenu,13,M,ANTONINI Jean-Etienne
2B,Aregno,per un avvene serenu,14,F,BOURCELET Danielle
2B,Aregno,per un avvene serenu,15,M,ANFRIANI Serge
2B,Asco,ASCU SEMPRE,1,M,FRANCESCHETTI Bernard
2B,Asco,ASCU SEMPRE,2,F,PATERNO Catherine
2B,Asco,ASCU SEMPRE,3,M,BERTRAND Jacques-Charles
2B,Asco,ASCU SEMPRE,4,F,VITTI Elodie
2B,Asco,ASCU SEMPRE,5,M,FRANCESCHETTI Daniel
2B,Asco,ASCU SEMPRE,6,F,BATTARRA Magali Yvonne
2B,Asco,ASCU SEMPRE,7,M,FRANCESCHETTI Pierre-Marie
2B,Asco,ASCU SEMPRE,8,F,FRANCESCHETTI Isabelle
2B,Asco,ASCU SEMPRE,9,M,BALDACCI Renaud
2B,Asco,ASCU SEMPRE,10,F,MASSIANI Laetitia
2B,Asco,ASCU SEMPRE,11,M,MERCURY Paul
2B,Avapessa,l'avvene simu noi,1,M,FONDACCI Kevin
2B,Avapessa,l'avvene simu noi,2,F,TOMMASINI Stéphanie
2B,Avapessa,l'avvene simu noi,3,M,KRAN Stéphane
2B,Avapessa,l'avvene simu noi,4,F,TOMMASINI Emma
2B,Avapessa,l'avvene simu noi,5,M,ANTONINI Jean-Charles
2B,Avapessa,l'avvene simu noi,6,F,MICHEL Stéphanie
2B,Avapessa,l'avvene simu noi,7,M,CESARI Nicolas
2B,Avapessa,l'avvene simu noi,8,F,MUSIALIK Huguette
2B,Avapessa,l'avvene simu noi,9,M,ROGLIANO Joseph-Louis
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,1,M,MARCHETTI Etienne
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,2,F,FRATANI Martine
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,3,M,CYPRIANI Philippe
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,4,F,PAINDAVOINE Charlotte
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,5,M,DEMASI André
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,6,F,GIORDANI Anita
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,7,M,RONCHINI Patrick
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,8,F,POEY Alexia
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,9,M,BLANC Loic
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,10,F,NEGRI Denise
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,11,M,FERAY Justin
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,12,F,DEVICHI Monique
2B,Barbaggio,TOUS UNIS POUR BARBAGGIO,13,M,TAMBURINI Ange
2B,Barrettali,préserver l'âme et construire demain,1,M,BACCARELLI Dominique
2B,Barrettali,préserver l'âme et construire demain,2,F,MATTEI Corinne
2B,Barrettali,préserver l'âme et construire demain,3,M,MATTEI Jean-Claude
2B,Barrettali,préserver l'âme et construire demain,4,F,MATTEI Laurence
2B,Barrettali,préserver l'âme et construire demain,5,M,CALIZI Bruno
2B,Barrettali,préserver l'âme et construire demain,6,F,MARCHETTI Manuelle
2B,Barrettali,préserver l'âme et construire demain,7,M,LICCIONI Jean-Noël
2B,Barrettali,préserver l'âme et construire demain,8,F,TZICO-STEFANESCO Christine
2B,Barrettali,préserver l'âme et construire demain,9,M,GIULIANI Christophe Pierre Adalbert
2B,Barrettali,préserver l'âme et construire demain,10,F,LUCCHESI Nelly
2B,Barrettali,préserver l'âme et construire demain,11,M,POTT Fabien Bernard
2B,Barrettali,préserver l'âme et construire demain,12,F,RINI Delphine Marcelle Marie-Françoise
2B,Barrettali,préserver l'âme et construire demain,13,M,GUINTRAND Yves
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,1,M,RIOLACCI Francis
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,2,F,DEVOTI Toussainte
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,3,M,ROSSI Pascal
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,4,F,GERONNE Lou-Andréa
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,5,M,TOMEI Louis
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,6,F,BRETON Cécile Fernande
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,7,M,BOCCARA Michael
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,8,F,N'DIAYE TORRE Manon
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,9,M,RENON Michael
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,10,F,FILIPPI Valérie
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,11,M,RISTORCELLI Philippe
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,12,F,DURIANI Sarah
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,13,M,GIL Jean-Jacques
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,14,F,LUCIANI-MARCHETTI Marina
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,15,M,MOUNIER Noel
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,16,F,AGOSTINI Joelle
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,17,M,GENOUD Eric
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,18,F,MICHELETTI Mara
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,19,M,SANTUCCI Jean-Marie
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,20,F,MORABITO Marie France
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,21,M,PERI Christian
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,22,F,COLONNA D'ISTRIA Elisabeth
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,23,M,GASPARI Noel
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,24,F,CHALUMEAU-PIETRI Corinne
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,25,M,ZEREGA Jean-Pierre
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,26,F,MAZEAU Sandrine
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,27,M,CARDI Jean Philippe
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,28,F,OGLIASTRO Louise
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,29,M,CIUCCI Robert
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,30,F,CASTELLANI Catherine
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,31,M,CASALE Noël
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,32,F,POMMEPUY Eve
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,33,M,CARLOTTI Pierre Jean
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,34,F,BIANCHI-RIOLACCI Irène
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,35,M,AMORETTI René
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,36,F,DEVICHI Gisèle
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,37,M,MICHELI Albert
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,38,F,STEFANI-VESPERINI Lucie-Yolande
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,39,M,BOMBARDI Louis
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,40,F,SALADINI Monique
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,41,M,MICHELETTI Arthur
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,42,F,ROSSI BUISSON Michèle
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,43,M,ROVERE Ange
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,44,F,RIGHETTI Arlette
2B,Bastia,BASTIA EN COMMUN - BASTIA IN CUMUNU,45,M,ROSIER Emile
2B,Bastia,BASTIA INSEME Gilles Simeoni,1,M,SIMEONI Gilles
2B,Bastia,BASTIA INSEME Gilles Simeoni,2,F,BERETTI Hélène
2B,Bastia,BASTIA INSEME Gilles Simeoni,3,M,PAPAZIAN Laurent
2B,Bastia,BASTIA INSEME Gilles Simeoni,4,F,DE GENTILI Emmanuelle
2B,Bastia,BASTIA INSEME Gilles Simeoni,5,M,ORSINI Pierre
2B,Bastia,BASTIA INSEME Gilles Simeoni,6,F,NATALI Josée
2B,Bastia,BASTIA INSEME Gilles Simeoni,7,M,SAVELLI Pierre
2B,Bastia,BASTIA INSEME Gilles Simeoni,8,F,STROMBONI Marie
2B,Bastia,BASTIA INSEME Gilles Simeoni,9,M,CASTELLANI Pasquale
