code_departement,ville,libelle_liste,nuance_politique,nom,prenom,genre,taille_liste
01,L'Abergement-Clémenciat,ENSEMBLE POUR L'ABERGEMENT CLEMENCIAT,,EVALET TAPONAT,Line,F,15
01,L'Abergement-de-Varey,ENSEMBLE POUR L'ABERGEMENT-DE-VAREY,,COUROUBLE,François,M,13
01,L'Abergement-de-Varey,"NOTRE COMMUNE, NOTRE ENGAGEMENT",,ROBERT,Laurent,M,13
01,Ambérieu-en-Bugey,AMBERIEU C'EST VOUS,LDVG,CHRISTIN,Rémi,M,35
01,Ambérieu-en-Bugey,LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS,LEXG,EL YOUSFI,Samir,M,33
01,Ambérieu-en-Bugey,TOUS AMBARROIS,LDVC,FABRE,Daniel,M,35
01,Ambérieux-en-Dombes,"UNIS PAR NOTRE VILLAGE, ENGAGES POUR TOUS",,FORNES,Christine,F,21
01,Ambléon,TOUS ENSEMBLE POUR AMBLÉON,,RAFFRON,Gael,M,11
01,Ambléon,MIEUX VIVRE À AMBLEON,,ARCAN,Henri,M,9
01,Ambronay,ENSEMBLE CONTINUONSPOUR AMBRONAY,,MANCUSO,Vincent,M,25
01,Ambronay,"NOTRE VILLAGE, NOTRE AMBITION",,BELLATON,Marc,M,23
01,Ambutrix,AMBUTRIX L'ESPRIT VILLAGE,,DELOFFRE,Dominique,M,16
01,Ambutrix,BIEN VIVRE ENSEMBLE À AMBUTRIX,,PACCALET,Patrick,M,15
01,Andert-et-Condon,ENSEMBLE POUR NOTRE COMMUNE,,MARTINAT,Francine,F,13
01,Andert-et-Condon,"CINQ HAMEAUX, UNE COMMUNE : ANDERT ET CONDON",,GUILLERMIN,Patrick,M,11
01,Anglefort,ENSEMBLE ECRIVONS L'AVENIR D'ANGLEFORT,,PLE,Henri,M,15
01,Anglefort,ANGLEFORT DEMAIN,,THIERRY,Jean-François,M,16
01,Apremont,UNIS POUR NOTRE VILLAGE,,LEVRAT,Marielle,F,12
01,Aranc,AVENIR ET SERENITE,,VARIGNIER,Nathalie,F,11
01,Aranc,ENSEMBLE POUR L AVENIR DE LA COMMUNE D ARANC,,PALLET,Monique,F,11
01,Arandas,RESTONS VILLAGE POUR AVANCER,,MANOS,Lionel,M,11
01,Arbent,"POUR ARBENT, POURSUIVONS ENSEMBLE",LDVD,CRACCHIOLO,Philippe,M,29
01,Arboys en Bugey,ARBOYS EN COMMUN,,BORDONNAT,Joël,M,21
01,Arboys en Bugey,"ARBOYS : NOTRE PROJET, VOTRE CHOIX",,RIERA,Michel Charles,M,19
01,Arbigny,"ARBIGNY, Notre Village",,GASSE,Nadine,F,11
01,Arbigny,NOUVEL ELAN,,GRAS,Daniel,M,11
01,Argis,"ARGIS,FIDÈLE À SES RACINES, TOURNÉ VERS L'AVENIR",,BOU,Laurent,M,13
01,Armix,TOUS ENSEMBLE POUR ARMIX,,VUILLOUD,Véronique,F,7
01,Ars-sur-Formans,VIVRE ARS,,DELAMARE,Thierry,M,21
01,Artemare,ARTEMARE C'EST VOUS,,DESCHAMPS,Roland,M,17
01,Asnières-sur-Saône,ASNIERES DEMAIN,,RIGAUD,Philippe,M,7
01,Asnières-sur-Saône,ENSEMBLE POUR LA COMMUNE,,FONTIS,Michel,M,6
01,Attignat,ATTIGNAT 2026 l'Avenir avec Vous,,MARTIN,Walter,M,25
01,Bâgé-Dommartin,RENOUVEAU POUR BAGE DOMMARTIN,LRN,JOUANNE,Kevin,M,29
01,Bâgé-Dommartin,ENGAGÉS POUR DEMAIN,LDIV,BERNIGAUD,Christian,M,29
01,Bâgé-le-Châtel,construire ensemble l'avenir authentique et attractif de bâgé-le-Châtel,,FRICOU,Eric Olivier,M,14
01,Balan,Balan 2032 - Ensemble pour construire l'avenir,,MEANT,Patrick,M,24
01,Baneins,"Baneins, terroir en héritage, avenir en projet",,GRANGE,Jean-Pierre,M,15
01,Beaupont,Ensemble pour BEAUPONT,,JANODET,Gérard,M,15
01,Beauregard,"BEAUREGARD, plus proches pour aller plus loin",,BOUCHARD,Mickaël,M,17
01,Bellignat,tous pour Bellignat,LDVG,HASSOUN,Kamel,M,27
01,Bellignat,"Ensembles, Continuons pour Bellignat",LDVG,RAVET,Véronique,F,27
01,Béligneux,CONSTRUISONS DEMAIN ENSEMBLE,LDIV,FERRAND,Philippe,M,29
01,Valserhône,Vivons ensemble Valserhône,LDVG,LARMANJAT,Guy,M,36
01,Valserhône,"Pour Vous, Avec Vous, Simplement Valserhône",LDVD,DE OLIVEIRA,Isabelle,F,35
01,Belley,MIEUX VIVRE ENSEMBLE À BELLEY ET EN BUGEY SUD,LDVG,MEYRAND,Bernard,M,30
01,Belley,AGIR POUR BELLEY ET BUGEY-SUD,LDVD,LAHUERTA,Dimitri,M,29
01,Belleydoux,Belleydoux 2026,,COURTOIS,Pascal,M,11
01,Valromey-sur-Séran,BIEN VIVRE À VALROMEY SUR SÉRAN,,GODET,Pauline,F,21
01,Bénonces,"BÉNONCES: UNE GESTION RESPONSABLE, UN VILLAGE VIVANT, UN AVENIR DURABLE",,PELLEGRIN-ROMEGGIO,Frédéric,M,11
01,Bény,REUNIR POUR BENY,,BERROD,Mélynda,F,17
01,Béréziat,"BEREZIAT, UNE EQUIPE",,BERARDAN,Franck,M,11
01,Bettant,ENSEMBLE FAISONS VIVRE BETTANT,,MAITRE,Eric,M,15
01,Bey,Bien Vivre Ensemble,,METRAL,Olivier,M,11
01,Beynost,Beynost Agir pour Demain,LDVC,LE GUYADER,Anne,F,31
01,Beynost,Pour Beynost continuons d'agir,LDVD,TERRIER,Caroline,F,31
01,Billiat,BILLIAT 2026,,BEAUQUIS,Jean Marc,M,15
01,Birieux,"ensemble, vivons Birieux",,VIALLATTE,Nicolas,M,9
01,Birieux,"Fidèles à nos valeurs, ouverts à l'avenir",,BAILLET,Cyril,M,11
01,Biziat,BIZIAT ENTRE TRADITION ET VITALITE,,AGATY,Guillaume,M,15
01,Blyes,"BLYES, UN AVENIR À MAÎTRISER",,MARTIN,Daniel,M,17
01,La Boisse,"ENSEMBLE, PENSONS DEMAIN !",,SOILEUX,Laurent,M,24
01,La Boisse,AGIR POUR LES BUISSARDS,,SABATIER REIS,Severine,F,24
01,Boissey,UNE LISTE COMMUNE POUR MA COMMUNE,,GACHÉ,Mélanie,F,13
01,Bolozon,A l'Unisson pour Bolozon,,GIROD,Etienne,M,11
01,Bouligneux,"une équipe proche de vous, aujourd'hui et demain",,COMTET,Laurent,M,13
01,Bourg-en-Bresse,VIVRE BOURG DEMAIN,LUC,COQUELET,Christophe,M,43
01,Bourg-en-Bresse,Lutte ouvrière - le camp des travailleurs,LEXG,COUSSON,Sylvain,M,43
01,Bourg-en-Bresse,AGIR ENSEMBLE !,LRN,BUISSON,Jérôme,M,45
01,Bourg-en-Bresse,BOURG AMBITION - DROITE UNIE,LDVD,DE BOYSSON,Benoît,M,43
01,Bourg-en-Bresse,Bourg nous rassemble,LUG,DEBAT,Jean-François,M,43
01,Bourg-Saint-Christophe,"BSC, DEMAIN",,PERRET,Bernard,M,21
01,Boyeux-Saint-Jérôme,Boyeux et ses villages 2026,,TURPIN,Juvénal,M,11
01,Brégnier-Cordon,NOTRE COMMUNE AU SERVICE DE TOUS,,VERGAIN,Thierry,M,16
01,Brégnier-Cordon,UNE EQUIPE ENGAGEE ET DES PROJETS PARTAGES POUR BREGNIER-CORDON,,FATOU,David,M,15
01,Brénod,BRENOD VIVRE ENSEMBLE,,ROCHAIX-LETONDEUR,Ghislaine,F,14
01,Brens,BRENS POUR TOUS,,LACHIZE PICCINO,Sandrine,F,17
01,Bressolles,"BRESSOLLES, SES VALEURS, NOTRE AVENIR COMMUN",,GOUVERNEUR,Christian,M,17
01,Brion,BRION AU COEUR DE NOTRE VIE,,GUINET,Sébastien,M,17
01,Briord,ENSEMBLE POUR BRIORD,,MERLE,Serge,M,16
